place,title,msg,price,per_meter,year,area,age
开城新苑,满五年税少，高区采光好阳光充足户型正气，近地铁,高楼层 (共28层) | 2002年建 | 2室1厅 | 115.22平米 | 南 北,1480,"128,450",2002,115.22,20
弘辉名苑,此房满五年，南北通东边套，三房两厅布局好，江景房,高楼层 (共33层) | 2005年建 | 3室2厅 | 124.1平米 | 东 南 北,1850,"149,074",2005,124.1,17
弘辉名苑,此房满五年，南北通东边套，三房两厅布局好，江景房,高楼层 (共33层) | 2005年建 | 3室2厅 | 124.1平米 | 东 南 北,1850,"149,074",2005,124.1,17
思南路115弄,思南路朝南少有边套 满五年全天阳光 诚售好房 价可谈,中楼层 (共7层) | 1989年建 | 1室1厅 | 36.79平米 | 南,460,"125,034",1989,36.79,33
恒升大厦,满五年只此一套+朝南一室户采光好+看房随时诚意卖房,高楼层 (共26层) 1室1厅 | 57.95平米 | 南,570,"98,361",,57.95,
恒升大厦,烫金地段，两房朝南，房型正气，采光视野好，诚意出售,中楼层 (共26层) 2室1厅 | 86.25平米 | 南,830,"96,232",,86.25,
悦来小区,小面积2房 上家税少 业主诚意出售 看房方便,低楼层 (共16层) | 1993年建 | 2室0厅 | 46.61平米 | 东,515,"110,492",1993,46.61,29
悦来小区,小面积2房 上家税少 业主诚意出售 看房方便,低楼层 (共16层) | 1993年建 | 2室0厅 | 46.61平米 | 东,515,"110,492",1993,46.61,29
悦来小区,小面积2房 上家税少 业主诚意出售 看房方便,低楼层 (共16层) | 1993年建 | 2室0厅 | 46.61平米 | 东,515,"110,492",1993,46.61,29
惠祥公寓,高雄居委 自主出租两相宜 近地铁 配套成熟,低楼层 (共14层) | 1998年建 | 2室1厅 | 63.3平米 | 西,990,"156,399",1998,63.3,24
惠祥公寓,满五电梯两房，滨江板块，三轨交通,中楼层 (共14层) | 1998年建 | 2室1厅 | 73.45平米 | 东,1150,"156,570",1998,73.45,24
打浦大楼,看房方便 阳光充足 交通方便 诚意出售,中楼层 (共16层) | 1978年建 | 2室1厅 | 59.61平米 | 南,720,"120,786",1978,59.61,44
