place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
三门路510弄,满五年，税费少，双地铁，生活便利，诚意出售,高楼层 (共7层) | 1995年建 | 1室1厅 | 49.79平米 | 南,300,"60,254",1995,49.79,27,31.31706689,121.4971302,72290,1,本溪路165弄,31.28167216,121.5215311,86678,,,,,,,
三门路510弄,满五年，税费少，双地铁，生活便利，诚意出售,高楼层 (共7层) | 1995年建 | 1室1厅 | 49.79平米 | 南,300,"60,254",1995,49.79,27,31.31706689,121.4971302,72290,1,才茂公寓,31.28348024,121.523278,89050.5,,,,,,,
三门路510弄,三门路510弄，采光无遮挡，不靠马路，不临街，税费少,高楼层 (共6层) | 1991年建 | 1室1厅 | 45.75平米 | 南,285,"62,296",1991,45.75,31,31.31706689,121.4971302,72290,1,财大小区,31.31119092,121.5132419,71403.33333,,,,,,,
三门路510弄,楼层好+位置好+满五税少+诚意出售+看房方便,中楼层 (共6层) | 1993年建 | 1室1厅 | 46平米 | 南 北,291,"63,261",1993,46,29,31.31706689,121.4971302,72290,1,沧州路180弄,31.29220904,121.5333952,79436.33333,,,,,,,
三门路510弄,五角场+中间楼层+诚心出售+全明户型+诚心出售+有钥匙,中楼层 (共7层) | 1995年建 | 1室1厅 | 49.38平米 | 南,320,"64,804",1995,49.38,27,31.31706689,121.4971302,72290,1,昌大公寓,31.27205933,121.517595,82634,,,,,,,
三门路510弄,店长推荐，精装修，楼层好，采光好,低楼层 (共7层) | 1995年建 | 1室1厅 | 49.79平米 | 南,315,"63,266",1995,49.79,27,31.31706689,121.4971302,72290,1,城市方园,31.25074968,121.4756351,60063.91667,,,,,,,
上和园一期,小区中 心位置，拎包入住，中式风格，业主急售,低楼层 (共7层) | 2015年建 | 4室2厅 | 216.16平米 | 南 北,2500,"115,656",2015,216.16,7,31.3182074,121.5103109,72290,1,城市丽园,31.23795691,121.491452,99056,,,,,,,
上海大花园,内环内飞机户型，大三房，得房率高,低楼层 (共13层) | 2004年建 | 3室2厅 | 146.87平米 | 南,1350,"91,919",2004,146.87,18,31.27041725,121.5171131,72290,1,城市名园,31.33704881,121.5455674,61784,,,,,,,
上海大花园,满五*，视野好，税费少，高区，业主诚意出售,中楼层 (共23层) | 2004年建 | 3室2厅 | 169.41平米 | 南 北,1540,"90,904",2004,169.41,18,31.27041725,121.5171131,72290,1,城市庭园,31.33863753,121.5414558,72722,,,,,,,
上海大花园,内环内大三房品质小区满五户型正气,低楼层 (共18层) | 2004年建 | 3室2厅 | 145.26平米 | 南,1380,"95,003",2004,145.26,18,31.27041725,121.5171131,72290,1,赤峰路91-93号,31.28679409,121.5043778,103734.2,,,,,,,
